"Transaction No. In Originating","Transaction No.","Security ID - Current","Security Name - Current","Model Portfolio Code","Created Date","Trade Date","Payment Date","Created by User","Business Transaction Code","Elementary Transaction Code","Elementary Transaction Code Name","Settlement Currency Code - Transaction","Net Proceeds PC","Net Proceeds QC","Net Proceeds SC","Settlement Date","Finance Account Name","Nominal","Current Value PC","Current Value QC"
"74534","20171011000985","FS1000520","Thomas H Lee Equity Fund VI, LP (Pantheon)","MFS1000520",20171012,20171013,20171013,"Server job user","GenCost","General Cost","General Cost","CAD",19882.85,15886.58,19882.85,20171013,"TRNS TAX & OTH FGN PRIV EQUITY",0.0000000,0.00,0.00
"74533","20171011000984","FS1000619","The Veritas Capital Fund IV, LP (RDV)","MFS1000619",20171012,20171013,20171013,"Server job user","GenCost","General Cost","General Cost","CAD",80210.92,64196.98,80210.92,20171013,"DUE TO BROKER FGN PRIV EQUITY",0.0000000,0.00,0.00
"74533","20171011000984","FS1000619","The Veritas Capital Fund IV, LP (RDV)","MFS1000619",20171012,20171013,20171013,"Server job user","GenCost","General Cost","General Cost","CAD",80210.92,64196.98,80210.92,20171013,"CGAP:FX CONTROL ACCOUNT - SETL",0.0000000,0.00,0.00
"74533","20171011000984","FS1000619","The Veritas Capital Fund IV, LP (RDV)","MFS1000619",20171012,20171013,20171013,"Server job user","GenCost","General Cost","General Cost","CAD",80210.92,64196.98,80210.92,20171013,"TRNS TAX & OTH FGN PRIV EQUITY",0.0000000,0.00,0.00
"74533","20171011000984","FS1000619","The Veritas Capital Fund IV, LP (RDV)","MFS1000619",20171012,20171013,20171013,"Server job user","GenCost","General Cost","General Cost","CAD",80210.92,64196.98,80210.92,20171013,"CGAP:FX CONTROL ACCOUNT - SETL",0.0000000,0.00,0.00
"74532","20171011000863","FS1000409","Corporate Expenses ? Funds (VCC)","MFS1000409",20171012,20171013,20171013,"Server job user","GenCost","General Cost","General Cost","CAD",138016.83,138016.83,138016.83,20171013,"DUE TO BROKER FGN PRIV EQUITY",0.0000000,0.00,0.00
"74532","20171011000863","FS1000409","Corporate Expenses ? Funds (VCC)","MFS1000409",20171012,20171013,20171013,"Server job user","GenCost","General Cost","General Cost","CAD",138016.83,138016.83,138016.83,20171013,"TRNS TAX & OTH FGN PRIV EQUITY",0.0000000,0.00,0.00
"48457469","20171011000802","PDI100047","Project Holster - Public (Netback)","MPDI100028",20171011,20171002,20171012,"Batch job user","GenCost","General Cost","General Cost","USD",0.00,0.00,0.00,20171012,"REALIZED CURR GL FGN DIR PRIV DEBT",0.0000000,0.00,0.00
"48457469","20171011000802","PDI100047","Project Holster - Public (Netback)","MPDI100028",20171011,20171002,20171012,"Batch job user","GenCost","General Cost","General Cost","USD",0.00,0.00,0.00,20171012,"REALIZED SECURITY GL FGN DIR PRIV DEBT",0.0000000,0.00,0.00
"48457469","20171011000802","PDI100047","Project Holster - Public (Netback)","MPDI100028",20171011,20171002,20171012,"Batch job user","GenCost","General Cost","General Cost","USD",0.00,0.00,0.00,20171012,"REVOLVER COMMIT DISCOUNT COST FGN DIR PRIV DEBT",0.0000000,0.00,0.00
"48457469","20171011000802","PDI100047","Project Holster - Public (Netback)","MPDI100028",20171011,20171002,20171012,"Batch job user","GenCost","General Cost","General Cost","USD",0.00,0.00,0.00,20171012,"REALIZED SECURITY GL FGN DIR PRIV DEBT",0.0000000,0.00,0.00
"74530","20171011000801","PR1000096","Agricultural Company of America (PHI Transition)","MPR1000096",20171012,20171002,20171002,"Server job user","GenCost","General Cost","General Cost","USD",-183742.65,-147000.00,-147000.00,20171002,"DIVIDEND RECEIVABLE AGRICULTURE FUNDS",0.0000000,0.00,0.00
"74530","20171011000801","PR1000096","Agricultural Company of America (PHI Transition)","MPR1000096",20171012,20171002,20171002,"Server job user","GenCost","General Cost","General Cost","USD",-183742.65,-147000.00,-147000.00,20171002,"DIVIDEND INC FGN AGRICULTURE FUNDS",0.0000000,0.00,0.00
"74529","20171011000800","PD1000334","Project Holster - Public","MPD1000279",20171025,20171002,20171012,"Server job user","GenCost","General Cost","General Cost","USD",223098.04,178485.57,178485.57,20171012,"OTHER INCOME FGN DIR PRIV DEBT",0.0000000,0.00,0.00
"74529","20171011000800","PD1000334","Project Holster - Public","MPD1000279",20171025,20171002,20171012,"Server job user","GenCost","General Cost","General Cost","USD",223098.04,178485.57,178485.57,20171012,"DUE TO BROKER FGN DIR PRIV DEBT",0.0000000,0.00,0.00
"74528","20171011000798","PDI100047","Project Holster - Public (Netback)","MPDI100028",20171026,20171002,20171012,"Server job user","GenCost","General Cost","General Cost","USD",-223098.04,-178485.57,-178485.57,20171012,"REVOLVER COMMIT DISCOUNT COST FGN DIR PRIV DEBT",0.0000000,0.00,0.00
"74528","20171011000798","PDI100047","Project Holster - Public (Netback)","MPDI100028",20171026,20171002,20171012,"Server job user","GenCost","General Cost","General Cost","USD",-223098.04,-178485.57,-178485.57,20171012,"DUE FROM BROKER FGN DIR PRIV DEBT",0.0000000,0.00,0.00
"74527","20171011000797","FS1000445","Oaktree Principal Fund V (Parallel), L.P. (FFIC)","MFS1000445",20171031,20171016,20171016,"Batch job user","GenCost","General Cost","General Cost","USD",-3214663.84,-2563630.00,-2563630.00,20171016,"COST OF INVESTMENT FGN PRIV EQUITY",0.0000000,0.00,0.00
"74527","20171011000797","FS1000445","Oaktree Principal Fund V (Parallel), L.P. (FFIC)","MFS1000445",20171031,20171016,20171016,"Batch job user","GenCost","General Cost","General Cost","USD",-3214663.84,-2563630.00,-2563630.00,20171016,"REALIZED CURR GL FGN PRIV EQUITY",0.0000000,0.00,0.00
"74527","20171011000797","FS1000445","Oaktree Principal Fund V (Parallel), L.P. (FFIC)","MFS1000445",20171031,20171016,20171016,"Batch job user","GenCost","General Cost","General Cost","USD",-3214663.84,-2563630.00,-2563630.00,20171016,"DUE TO BROKER FGN PRIV EQUITY",0.0000000,0.00,0.00
"74527","20171011000797","FS1000445","Oaktree Principal Fund V (Parallel), L.P. (FFIC)","MFS1000445",20171031,20171016,20171016,"Batch job user","GenCost","General Cost","General Cost","USD",-3214663.84,-2563630.00,-2563630.00,20171016,"DUE FROM BROKER FGN PRIV EQUITY",0.0000000,0.00,0.00
"74527","20171011000797","FS1000445","Oaktree Principal Fund V (Parallel), L.P. (FFIC)","MFS1000445",20171031,20171016,20171016,"Batch job user","GenCost","General Cost","General Cost","USD",-3214663.84,-2563630.00,-2563630.00,20171016,"OTH INV EXP FGN PRIV EQUITY",0.0000000,0.00,0.00
"74527","20171011000797","FS1000445","Oaktree Principal Fund V (Parallel), L.P. (FFIC)","MFS1000445",20171031,20171016,20171016,"Batch job user","GenCost","General Cost","General Cost","USD",-3214663.84,-2563630.00,-2563630.00,20171016,"COST OF INVESTMENT FGN PRIV EQUITY",0.0000000,0.00,0.00
"74526","20171011000796","PD1000340","WorldStrides FOTL","MPD1000340",20171103,20171002,20171002,"Server job user","Sell","Sell","Sell","USD",336491.33,269203.83,269203.83,20171002,"DUE FROM BROKER FGN DIR PRIV DEBT",269203.8300000,336491.33,269203.83
