Ticket,SCDID_CUSIP,Ticket Status ID,Ticket Status,Ticket Type,Ticket Type Name,Trade Date,Due_Settlement_Date,Model Portfolio,Investment,Investment Amount,Investment Currency,Send to SCD,Funding Amount,Funding Currency,Creator,CreateDate,SourceSystem,LastUpdatedDateTime
"75366","IN1000068","4","Closed","1","Capital Call",2017-11-08 00:00:00.000,2017-11-08 00:00:00.000,"MIN1000066","NorthConnex M3-Intoll Trust (I)",9010640.00000,"AUD","Yes",9010640.00000,"AUD"," ",2017-11-01 17:03:39.597,Investran,2017-11-06 09:46:14.633
"75367","PD1000308","4","Closed","2","Cash Distribution",2017-10-31 00:00:00.000,2017-10-31 00:00:00.000,"MPD1000308","Mavis Tire Supply L+5.25% 08/04/2020",422605.83000,"USD","No",0," "," ",2017-11-01 17:30:01.530,WSO,2017-11-03 09:49:57.780
"75368","PD1000341","4","Closed","2","Cash Distribution",2017-10-31 00:00:00.000,2017-10-31 00:00:00.000,"MPD1000341","WorldStrides LOTL",4135.85000,"USD","Yes",4135.85000,"USD"," ",2017-11-01 19:53:53.767,WSO,2017-11-03 17:27:38.387
"75369","IN1000043","6","Manual","1","Capital Call",2017-10-31 00:00:00.000,2017-10-31 00:00:00.000,"MIN1000043","Corporate Expenses - Infrastructure (Singapore)",128.91000,"CAD","Yes",100.00000,"USD","Gavadza, Olena",2017-11-02 08:45:21.707,Investran,2017-11-03 15:00:03.607
"75372","PD1000314","6","Manual","2","Cash Distribution",2017-11-01 00:00:00.000,2017-11-01 00:00:00.000,"MPD1000314","Corporate Expenses - PCI (VCC)",35703.28000,"CAD","Yes",28235.10000,"USD","Gavadza, Olena",2017-11-02 08:53:49.037,NULL,2017-11-03 15:01:04.663
"75373","FS1000342","1","Pending approval by {0}","2","Cash Distribution",2017-11-03 00:00:00.000,2017-11-03 00:00:00.000,"MFS1000342","Resolute Fund III, L.P.",385555.00000,"USD","Yes",385555.00000,"USD","Petergeorge, Anderson",2017-11-02 09:30:40.927,Investran,2017-11-08 09:59:03.290
"75374","PR1000127","6","Manual","1","Capital Call",2017-11-09 00:00:00.000,2017-11-09 00:00:00.000,"MPR1000127","Corporate Expenses - Natural Resources (VCC)",5839.86000,"CAD","Yes",5839.86000,"CAD","Hassan, Sohaib",2017-11-02 09:37:06.387,Investran,2017-11-07 16:12:11.300
"75375","FS1000241","3","Approved pending payment {0}","1","Capital Call",2017-11-14 00:00:00.000,2017-11-14 00:00:00.000,"MFS1000241","EnCap Energy Capital Fund VIII-C, L.P.",1735413.13000,"USD","Yes",1735413.13000,"USD","2017/11/14",2017-11-02 09:40:41.600,Investran,2017-11-02 12:49:39.047
"75376","PD1000314","6","Manual","1","Capital Call",2017-11-09 00:00:00.000,2017-11-09 00:00:00.000,"MPD1000314","Corporate Expenses - PCI (VCC)",20506.77000,"CAD","Yes",12000.00000,"GBP","Hassan, Sohaib",2017-11-02 09:43:38.240,NULL,2017-11-07 15:33:11.893
"75377","219999901","6","Manual","1","Capital Call",2017-10-31 00:00:00.000,2017-10-31 00:00:00.000,"M219999901","Corporate Expenses - Private Debt",13762.89000,"CAD","Yes",13762.89000,"CAD","Gavadza, Olena",2017-11-02 09:45:46.840,NULL,2017-11-03 15:04:54.287
"75378","PR1000127","6","Manual","1","Capital Call",2017-11-10 00:00:00.000,2017-11-10 00:00:00.000,"MPR1000127","Corporate Expenses - Natural Resources (VCC)",7496.08000,"CAD","Yes",5005.59000,"EUR","Hassan, Sohaib",2017-11-02 09:50:07.060,Investran,2017-11-07 13:17:11.927
"75379","FS1000490","4","Closed","1","Capital Call",2017-11-09 00:00:00.000,2017-11-09 00:00:00.000,"MFS1000490","Fountainvest China Capital Partners Fund III, L.P.",121088433.00000,"CNY","Yes",18227974.00000,"USD"," ",2017-11-02 09:54:12.297,Investran,2017-11-03 01:36:03.603
"75382","PDI100057","6","Manual","1","Capital Call",2017-11-09 00:00:00.000,2017-11-09 00:00:00.000,"MPDI100057","LongPoint Minerals Equity",39.87000,"USD","Yes",51.40000,"CAD","Hassan, Sohaib",2017-11-02 10:40:48.897,NULL,2017-11-07 15:35:32.027
"75384","FS1000347","6","Manual","2","Cash Distribution",2017-10-31 00:00:00.000,2017-10-31 00:00:00.000,"MFS1000347","TPG Asia VI L.P.",0.00000,"USD","Yes",0.00000,"USD","Chih, Joey",2017-11-02 10:54:58.540,Investran,2017-11-02 11:08:12.030
"75385","PDI100057","6","Manual","1","Capital Call",2017-11-09 00:00:00.000,2017-11-09 00:00:00.000,"MPDI100057","LongPoint Minerals Equity",3796.50000,"USD","Yes",3796.50000,"USD","Hassan, Sohaib",2017-11-02 10:58:49.487,NULL,2017-11-07 15:34:45.910
